item,itemLabel,offizielle_Website
http://www.wikidata.org/entity/Q1378190,Europäisches Theologisches Seminar,http://ets-kniebis.de
http://www.wikidata.org/entity/Q1381118,Evangelische Seminare Maulbronn und Blaubeuren,http://www.seminar-maulbronn.de/
http://www.wikidata.org/entity/Q1581678,Josefinum,
http://www.wikidata.org/entity/Q1429906,Pädagogische Hochschule Heidelberg,http://www.ph-heidelberg.de/
http://www.wikidata.org/entity/Q1503440,Georg-Simon-Ohm-Hochschule für angewandte Wissenschaften – Fachhochschule Nürnberg,http://www.ohm-hochschule.de/index.php?id=319&L=1
http://www.wikidata.org/entity/Q1503440,Georg-Simon-Ohm-Hochschule für angewandte Wissenschaften – Fachhochschule Nürnberg,http://www.th-nuernberg.eu/
http://www.wikidata.org/entity/Q560023,Evangelisches Stift Tübingen,
http://www.wikidata.org/entity/Q1622071,Hochschule Aalen,http://www.hs-aalen.de/
http://www.wikidata.org/entity/Q1622096,Hochschule Emden/Leer,http://www.hs-emden-leer.de/
http://www.wikidata.org/entity/Q1622118,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung",http://www.htwg-konstanz.de/English.20.0.html
http://www.wikidata.org/entity/Q224514,Hochschule Hannover,https://hs-hannover.de/
http://www.wikidata.org/entity/Q1487242,Hochschule für Musik Saar,https://www.hfmsaar.de/
http://www.wikidata.org/entity/Q700758,Universität des Saarlandes,https://www.uni-saarland.de/
http://www.wikidata.org/entity/Q700758,Universität des Saarlandes,https://www.uni-saarland.de/en/
http://www.wikidata.org/entity/Q153987,Albert-Ludwigs-Universität Freiburg,https://www.uni-freiburg.de/
http://www.wikidata.org/entity/Q317796,Hochschule für Musik und Darstellende Kunst Frankfurt am Main,http://www.hfmdk-frankfurt.info/
http://www.wikidata.org/entity/Q448590,Universität Koblenz-Landau,http://www.uni-koblenz-landau.de/
http://www.wikidata.org/entity/Q504723,Universität Siegen,http://www.uni-siegen.de/
http://www.wikidata.org/entity/Q569460,Hochschule für Musik „Hanns Eisler“ Berlin,https://www.hfm-berlin.de/
http://www.wikidata.org/entity/Q569460,Hochschule für Musik „Hanns Eisler“ Berlin,https://www.hfm-berlin.de/en/
http://www.wikidata.org/entity/Q662355,Kunstakademie Düsseldorf,http://www.kunstakademie-duesseldorf.de/
http://www.wikidata.org/entity/Q650345,Hochschule für Musik Freiburg,http://www.mh-freiburg.de
http://www.wikidata.org/entity/Q1391222,Hochschule Schmalkalden,http://www.hs-schmalkalden.de
http://www.wikidata.org/entity/Q1391202,Technische Hochschule Lübeck,https://www.th-luebeck.de/
http://www.wikidata.org/entity/Q687017,Fernuniversität Hagen,https://www.fernuni-hagen.de/
http://www.wikidata.org/entity/Q696757,Universität Duisburg-Essen,http://www.uni-duisburg-essen.de/
http://www.wikidata.org/entity/Q1441203,Pädagogische Hochschule Freiburg,http://www.ph-freiburg.de/
http://www.wikidata.org/entity/Q1441203,Pädagogische Hochschule Freiburg,https://www.ph-freiburg.de/home.html
http://www.wikidata.org/entity/Q734324,Technische Universität Braunschweig,http://www.tu-braunschweig.de/
http://www.wikidata.org/entity/Q1505130,Hochschule Hamm-Lippstadt,http://www.hshl.de/
http://www.wikidata.org/entity/Q1505130,Hochschule Hamm-Lippstadt,http://www.hshl.de/en/
http://www.wikidata.org/entity/Q761708,Hochschule Karlsruhe,https://www.h-ka.de/
http://www.wikidata.org/entity/Q761708,Hochschule Karlsruhe,https://www.h-ka.de/en/
http://www.wikidata.org/entity/Q122453,Universität Stuttgart,https://www.uni-stuttgart.de
http://www.wikidata.org/entity/Q152838,Georg-August-Universität Göttingen,https://www.uni-goettingen.de/en/1.html
http://www.wikidata.org/entity/Q156725,Universität Hamburg,http://www.uni-hamburg.de/
http://www.wikidata.org/entity/Q827038,Kunsthochschule für Medien Köln,http://www.khm.de
http://www.wikidata.org/entity/Q827038,Kunsthochschule für Medien Köln,https://en.khm.de/
http://www.wikidata.org/entity/Q161976,Julius-Maximilians-Universität Würzburg,http://www.uni-wuerzburg.de/
